RecipeId;Alcohol;NonAlcohol;Fruit;Flavour;Chilled;Degree;NoOfLiquid;Title;Ingredient;Step
1;white rum;;lime;cane sugar syrup;true;high;1;Ti'punch;6 cl white rum|2 cl cane syrup|1 slice of lime;Wash a lime, remove top and bottom, and thinly slice into half rings. Add lime pieces to glass and crush with the flat end of a barspoon.Add rum and cane syrup, top with broken ice, and muddle together. Add a short straw, and serve.
2;blue curacao;lemonade|lemon juice;;passion fruit syrup;true;low;3;Exotic Cocktail Passion Fruit;1 l Lemonade|35 cl Blue curacao|35 l passion fruit syrup|20 cl lemon juice|5  ice cubes;In a shaker, combine syrup curacao syrup, passion fruit and lemon juice.Shake well and pour the mixture into a container.Stir liter of lemonade and mix well.Add 5 ice cubes and serve.
3;;lemon juice ;cucumbers;sugar;true;none;1;Builder;1 cucumber|1 lemon|2 cs of sugar|3 ice cubes;Mix a cucumber in a centrifuge, put the lemon juice, the sugar and the icebergs.Serve in a glass decorated of a lemon slice
4;kirsch|cremant;lemonade;raspberry|lemon;cane sugar;true;low;3;Raspberry Cocktail;450 g raspberry|75 cl cane sugar|50 cl kirsch|1 l Lemonade|1  lemon|225 cl Cremant;The day before: put the raspberries, lemon slices, 3 glasses of cane sugar syrup, kirsch and half lemonade in a large container and marinate in the fridge.Put the rest of lemonade and bottles of sparkling wine in the fridge.Just before serving:Added to the preparation the day before the rest of lemonade and bottles of Cremant. Taste and add sugar cane if necessary because certain sound more bitter than other Cremants.
5;cointreau|cognac|champagne;orange juice;raspberry;grenadine;true;high;4;Cocktail for Lovers;12 cl Orange juice|18 cl cointreau|10 cl cognac|3 cl grenadine|10 cl champagne|10  raspberry;Mix all ingredients (in advance if possible put in the fridge) with a spoon or shaker.Add just before serving raspberries (so they keep their consistency) or one hour before if you require well soaked.
6;;pineapple juice|orange juice;;coconut syrup|sour cream;false;none;2;Coconut Kiss;3 cl pineapple juice|4 cl orange juice|2 cl coconut syrup|3 cl sour cream;Mix juices, syrups and sour cream in a shaker.Serve in a glass with an ananas slice and a piece of orange
7;vodka;;;tabasco sauce|grenadine;false;high;1;Shot Spice;3 cl  Grenadine|tabasco sauce|6 cl  vodka;In a small glass (about 4 cm in diameter and 5 cm high), add 3 mm grenadine syrup.Add 4-6 drops of tabasco, then slowly pour 2-3 cm vodka (cold, preferably), not to mix the ingredients.This cocktail is drunk "cul-dry." It feels relatively little alcohol initially because the grenadine is in the glass. After a few seconds, you feel the spiciness of Tabasco.
8;martini;;citrus fruit|lemon;;true;low;1;Cocktail Martini;1 l martini|2 l citrus fruit|1  lemon;Mix the liquids. Cut the lemon into chunks and add it. Serve chilled with ice.
9;;lime juice|lemonade;strawberry;sugar;true;none;2;Cocktail Sparkling Strawberry Lime (without alcohol);400 g strawberry|2 tsp sugar|10 cl Lime juice|30 cl Lemonade;Wash, remove stems fraises.Les mixer.Ajouter put in the lime juice and lemonade and sucre.Mixer.Verser mixer nouveau.Reserver refrigerate until serving time.Here it is finished!Enjoy it!
10;;orange juice|lemon juice;strawberry;;false;none;2;Citrus Cocktail (without alcohol);6 cl Orange juice|5 cl lemon juice|2  strawberry;Measure each of the ingredients and pour into a shaker. Shake well. Pour into a cocktail glass or champagne flute. Repeat the operation for each person.
11;noilly prat|champagne;;;;false;low;2;Citrouillette (champagne cocktail);4 cl  Noilly Prat|8 cl  champagne;Pour Nouilly Prat in a glass and add Champagne fresh.Taste is excellent.
12;cognac|champagne;apricot juice;;;false;high;3;Cocktail Grand Paradis;1 cl cognac|5 cl Apricot juice|10 cl champagne;Mix in a shaker cognac and apricot juice.Pour into a glass (tulip type) and fill with champagne.
13;whiskey|creme de cassis|benedictine|pastis;;;;true;high;4;Cocktail Red Lion;2 cl Whiskey|2 cl Creme de cassis|0.5 cl Benedictine|0.5 cl pastis|1  ice cube;Fill a shaker with ice, pour the different alcohols. Close and shake strongly few seconds.Serve.
14;rum;lemon juice;;grenadine;false;high;2;Bacardi Cocktail;24 cl rum|6 cl Grenadine syrup|12 cl lemon juice;1. Put the rum, grenadine syrup and lemon juice in a shaker.Shake.
15;vodka|cointreau;lemon juice;lemon;;true;high;3;Cocktail Balalaika;4 cl vodka|2 cl cointreau|4 cl lemon juice|1 lemon|2 ice cubes;Pour alcohol and lemon juice in a tall glass over ice.Garnish with lemon slices.
16;;apple juice|lemon juice;kiwi fruit;wasabi;true;none;2;Raifortissimo;5 cl apple juice|3 cl green lemon juice|10 g wasabi|1 kiwi fruit|3 ice cubes;Mix the kiwi fruit, add the juices, wasabi and ice cube.Serve in a glass.
17;;cranberry juice|orange juice|lemon juice;raspberry|lemon;;true;none;3;Cocktail Cranberry-orange;25 cl Cranberry juice|10 cl Orange juice|150 g raspberry|2  lemon|1 csp lemon juice;Mix the two juices.Add the raspberries and lemon juice.Mix everything pureed.Serve chilled or with ice cubes.Decorate your glasses with a slice of lemon or orange.To your health!
18;malibu rum|white rum;pineapple juice|orange juice;;light whipping cream;true;high;4;Pina Colada;125 g malibu rum|150 g light whipping cream|20 cl Pineapple juice|20 cl white rum|ice cubes;Put all ingredients except ice cubes in a blender and run at high speed for about 30 seconds.Put ice cubes in glasses and pour over the cream obtained.
19;white rum;;coconut;;true;high;1;Coconut Cocktail Lovers;1  coconut|10 cl  white rum;Pierce the coconut in 3 places on the top, and drain the water inside.Completely fill white rum.Plug the holes by cropping a cork, and seal by pouring wax candle dessus.Ranger standing in the refrigerator for 3 weeks.
20;dry white wine|rum;sparkling water;lemon|orange;sugar;true;high;3;Cocktail Appetizer;2 l dry white wine|200 g sugar|2  lemon|2 oranges|30 cl rum|75 cl sparkling water;Mix all ingredients and serve chilled.
21;porto|cognac;;egg;cinnamon|nutmeg|cane sugar syrup;true;high;2;Porto Flip;4 cl Porto|2 cl cognac|1 egg|cinnamon|nutmeg|2 cl cane sugar syrup|ice cubes;In a shaker, put alcohol and cane syrup. Then add the spices. Mix with a long spoon.Add egg and ice cubes. Close the shaker and mix.Serve in a cocktail glass, saupodrer a little cinnamon.It can do so only with port too.
22;mangalore;sparkling water;;apricot syrup;false;low;2;Shoot up;1 cl mangalore|8 cl sparkling water|3 cl apricot syrup;Mix syrup and mangalore.Then fill the glass by fresh carbonated water.
